confCase,confCaseRate,createDt,criticalRate,death,deathRate,gubun,seq,updateDt
4456,4.25,2021-04-03 16:35:39.463,0,0,0.00,0-9,7933,null
7137,6.81,2021-04-03 16:35:39.463,0,0,0.00,10-19,7932,null
15724,15.01,2021-04-03 16:35:39.463,0.02,3,0.17,20-29,7931,null
14076,13.44,2021-04-03 16:35:39.463,0.05,7,0.40,30-39,7930,null
15270,14.58,2021-04-03 16:35:39.463,0.09,14,0.80,40-49,7929,null
19294,18.42,2021-04-03 16:35:39.463,0.31,59,3.39,50-59,7928,null
16234,15.5,2021-04-03 16:35:39.463,1.24,201,11.55,60-69,7927,null
7739,7.39,2021-04-03 16:35:39.462,6.31,488,28.05,70-79,7926,null
4806,4.59,2021-04-03 16:35:39.462,20.14,968,55.63,80 이상,7925,null
52704,50.32,2021-04-03 16:35:39.462,1.65,872,50.11,여성,7924,null
52032,49.68,2021-04-03 16:35:39.462,1.67,868,49.89,남성,7923,null
4431,4.25,2021-04-02 14:15:55.623,0,0,0.00,0-9,7856,2021-04-03 16:36:03.382
7094,6.81,2021-04-02 14:15:55.623,0,0,0.00,10-19,7855,null
15646,15.02,2021-04-02 14:15:55.623,0.02,3,0.17,20-29,7854,null
14000,13.44,2021-04-02 14:15:55.623,0.05,7,0.40,30-39,7853,null
15173,14.56,2021-04-02 14:15:55.622,0.09,14,0.81,40-49,7852,null
19206,18.43,2021-04-02 14:15:55.622,0.3,58,3.34,50-59,7851,null
16141,15.49,2021-04-02 14:15:55.622,1.25,201,11.57,60-69,7850,null
7710,7.4,2021-04-02 14:15:55.622,6.3,486,27.98,70-79,7849,null
4792,4.6,2021-04-02 14:15:55.622,20.2,968,55.73,80 이상,7848,null
52435,50.32,2021-04-02 14:15:55.622,1.66,872,50.20,여성,7847,null
51758,49.68,2021-04-02 14:15:55.621,1.67,865,49.80,남성,7846,2021-04-03 16:35:53.751
4409,4.25,2021-04-01 14:19:33.754,0,0,0.00,0-9,7834,null
7058,6.81,2021-04-01 14:19:33.754,0,0,0.00,10-19,7833,null
15555,15.01,2021-04-01 14:19:33.754,0.02,3,0.17,20-29,7832,null
13910,13.42,2021-04-01 14:19:33.753,0.05,7,0.40,30-39,7831,null
15088,14.56,2021-04-01 14:19:33.753,0.09,14,0.81,40-49,7830,null
19113,18.44,2021-04-01 14:19:33.753,0.3,58,3.34,50-59,7829,null
16073,15.51,2021-04-01 14:19:33.753,1.25,201,11.59,60-69,7828,null
7663,7.39,2021-04-01 14:19:33.753,6.34,486,28.01,70-79,7827,null
4770,4.6,2021-04-01 14:19:33.753,20.25,966,55.68,80 이상,7826,null
52174,50.34,2021-04-01 14:19:33.753,1.67,871,50.20,여성,7825,null
51465,49.66,2021-04-01 14:19:33.752,1.68,864,49.80,남성,7824,null
4371,4.24,2021-03-31 14:17:03.955,0,0,0.00,0-9,7812,null
7010,6.8,2021-03-31 14:17:03.955,0,0,0.00,10-19,7811,null
15464,15,2021-03-31 14:17:03.955,0.02,3,0.17,20-29,7810,null
13839,13.42,2021-03-31 14:17:03.955,0.05,7,0.40,30-39,7809,null
15007,14.56,2021-03-31 14:17:03.955,0.09,14,0.81,40-49,7808,null
19016,18.45,2021-03-31 14:17:03.954,0.31,58,3.35,50-59,7807,null
15992,15.51,2021-03-31 14:17:03.954,1.24,199,11.50,60-69,7806,null
7636,7.41,2021-03-31 14:17:03.954,6.35,485,28.02,70-79,7805,null
4753,4.61,2021-03-31 14:17:03.954,20.3,965,55.75,80 이상,7804,null
51905,50.35,2021-03-31 14:17:03.954,1.67,869,50.20,여성,7803,null
51183,49.65,2021-03-31 14:17:03.953,1.68,862,49.80,남성,7802,null
4337,4.23,2021-03-30 14:23:38.115,0,0,0.00,0-9,7790,null
6972,6.8,2021-03-30 14:23:38.115,0,0,0.00,10-19,7789,null
15396,15.01,2021-03-30 14:23:38.115,0.02,3,0.17,20-29,7788,null
13766,13.42,2021-03-30 14:23:38.115,0.05,7,0.40,30-39,7787,null
14906,14.53,2021-03-30 14:23:38.114,0.09,14,0.81,40-49,7786,null
18935,18.46,2021-03-30 14:23:38.114,0.31,58,3.35,50-59,7785,null
15927,15.53,2021-03-30 14:23:38.114,1.24,198,11.45,60-69,7784,null
7609,7.42,2021-03-30 14:23:38.114,6.37,485,28.05,70-79,7783,null
4734,4.61,2021-03-30 14:23:38.114,20.36,964,55.75,80 이상,7782,null
51637,50.34,2021-03-30 14:23:38.114,1.68,868,50.20,여성,7781,null
50945,49.66,2021-03-30 14:23:38.114,1.69,861,49.80,남성,7780,null
4317,4.23,2021-03-29 14:23:53.363,0,0,0.00,0-9,7768,null
6934,6.79,2021-03-29 14:23:53.363,0,0,0.00,10-19,7767,null
15329,15.01,2021-03-29 14:23:53.363,0.02,3,0.17,20-29,7766,null
13703,13.42,2021-03-29 14:23:53.363,0.05,7,0.41,30-39,7765,null
14822,14.51,2021-03-29 14:23:53.363,0.09,14,0.81,40-49,7764,null
18859,18.46,2021-03-29 14:23:53.363,0.31,58,3.36,50-59,7763,null
15868,15.54,2021-03-29 14:23:53.363,1.25,198,11.47,60-69,7762,null
7584,7.43,2021-03-29 14:23:53.362,6.38,484,28.04,70-79,7761,null
4725,4.63,2021-03-29 14:23:53.362,20.36,962,55.74,80 이상,7760,null
51434,50.36,2021-03-29 14:23:53.362,1.69,867,50.23,여성,7759,null
50707,49.64,2021-03-29 14:23:53.362,1.69,859,49.77,남성,7758,null
4304,4.23,2021-03-28 14:22:32.187,0,0,0.00,0-9,7735,null
6901,6.78,2021-03-28 14:22:32.187,0,0,0.00,10-19,7734,null
15276,15.01,2021-03-28 14:22:32.187,0.02,3,0.17,20-29,7733,null
13658,13.42,2021-03-28 14:22:32.187,0.05,7,0.41,30-39,7732,null
14755,14.5,2021-03-28 14:22:32.187,0.09,14,0.81,40-49,7731,null
18776,18.45,2021-03-28 14:22:32.187,0.31,58,3.37,50-59,7730,2021-03-31 09:24:59.0
15808,15.54,2021-03-28 14:22:32.186,1.25,198,11.50,60-69,7729,2021-03-31 09:24:42.0
7559,7.43,2021-03-28 14:22:32.186,6.39,483,28.05,70-79,7728,2021-03-31 09:24:25.0
4716,4.63,2021-03-28 14:22:32.186,20.34,959,55.69,80 이상,7727,null
51246,50.36,2021-03-28 14:22:32.186,1.69,864,50.17,여성,7726,2021-03-31 09:23:47.0
50507,49.64,2021-03-28 14:22:32.186,1.7,858,49.83,남성,7725,2021-03-31 09:23:50.0
4276,4.22,2021-03-27 14:15:32.949,0,0,0.00,0-9,7713,null
6861,6.77,2021-03-27 14:15:32.948,0,0,0.00,10-19,7712,null
15195,15,2021-03-27 14:15:32.948,0.02,3,0.17,20-29,7711,null
13596,13.42,2021-03-27 14:15:32.948,0.05,7,0.41,30-39,7710,null
14692,14.51,2021-03-27 14:15:32.948,0.1,14,0.81,40-49,7709,null
18710,18.48,2021-03-27 14:15:32.948,0.31,58,3.37,50-59,7708,2021-03-31 09:20:17.0
15731,15.53,2021-03-27 14:15:32.948,1.26,198,11.50,60-69,7707,2021-03-31 09:19:57.0
7524,7.43,2021-03-27 14:15:32.948,6.41,482,28.01,70-79,7706,2021-03-31 09:19:39.0
4686,4.63,2021-03-27 14:15:32.947,20.47,959,55.72,80 이상,7705,null
51017,50.38,2021-03-27 14:15:32.947,1.69,864,50.20,여성,7704,2021-03-31 09:19:03.0
50254,49.62,2021-03-27 14:15:32.947,1.71,857,49.80,남성,7703,null
4248,4.22,2021-03-26 14:28:38.744,0,0,0.00,0-9,7691,null
6813,6.76,2021-03-26 14:28:38.744,0,0,0.00,10-19,7690,null
15133,15.02,2021-03-26 14:28:38.744,0.02,3,0.17,20-29,7689,null
13521,13.42,2021-03-26 14:28:38.744,0.05,7,0.41,30-39,7688,null
14614,14.5,2021-03-26 14:28:38.744,0.1,14,0.82,40-49,7687,null
18624,18.48,2021-03-26 14:28:38.744,0.31,58,3.38,50-59,7686,2021-03-31 09:15:50.0
15650,15.53,2021-03-26 14:28:38.744,1.26,197,11.48,60-69,7685,2021-03-31 09:15:30.0
7487,7.43,2021-03-26 14:28:38.743,6.41,480,27.97,70-79,7684,2021-03-31 09:15:11.0
4676,4.64,2021-03-26 14:28:38.743,20.47,957,55.77,80 이상,7683,null
50757,50.37,2021-03-26 14:28:38.743,1.7,864,50.35,여성,7682,2021-03-31 09:14:35.0
50009,49.63,2021-03-26 14:28:38.743,1.7,852,49.65,남성,7681,2021-03-31 09:14:38.0
4200,4.19,2021-03-25 14:14:30.958,0,0,0.00,0-9,7669,null
6784,6.77,2021-03-25 14:14:30.958,0,0,0.00,10-19,7668,null
15060,15.02,2021-03-25 14:14:30.958,0.02,3,0.18,20-29,7667,null
13446,13.41,2021-03-25 14:14:30.958,0.05,7,0.41,30-39,7666,null
14530,14.49,2021-03-25 14:14:30.958,0.1,14,0.82,40-49,7665,null
18547,18.5,2021-03-25 14:14:30.958,0.3,56,3.28,50-59,7664,null
15581,15.54,2021-03-25 14:14:30.957,1.26,197,11.53,60-69,7663,null
7461,7.44,2021-03-25 14:14:30.957,6.41,478,27.97,70-79,7662,null
4667,4.65,2021-03-25 14:14:30.957,20.44,954,55.82,80 이상,7661,null
50504,50.36,2021-03-25 14:14:30.957,1.7,859,50.26,여성,7660,null
49772,49.64,2021-03-25 14:14:30.957,1.71,850,49.74,남성,7659,null
4179,4.19,2021-03-24 14:17:37.349,0,0,0.00,0-9,7658,null
6752,6.76,2021-03-24 14:17:37.349,0,0,0.00,10-19,7657,null
14990,15.01,2021-03-24 14:17:37.349,0.02,3,0.18,20-29,7656,null
13373,13.39,2021-03-24 14:17:37.349,0.05,7,0.41,30-39,7655,null
14462,14.48,2021-03-24 14:17:37.349,0.1,14,0.82,40-49,7654,null
18460,18.49,2021-03-24 14:17:37.348,0.3,56,3.28,50-59,7653,null
15528,15.55,2021-03-24 14:17:37.348,1.27,197,11.54,60-69,7652,null
7443,7.45,2021-03-24 14:17:37.348,6.4,476,27.89,70-79,7651,null
4659,4.67,2021-03-24 14:17:37.348,20.48,954,55.89,80 이상,7650,null
50300,50.38,2021-03-24 14:17:37.348,1.71,859,50.32,여성,7649,null
49546,49.62,2021-03-24 14:17:37.348,1.71,848,49.68,남성,7648,null
4154,4.18,2021-03-23 14:17:40.248,0,0,0.00,0-9,7625,null
6713,6.75,2021-03-23 14:17:40.248,0,0,0.00,10-19,7624,null
14923,15.01,2021-03-23 14:17:40.248,0.02,3,0.18,20-29,7623,null
13297,13.37,2021-03-23 14:17:40.247,0.05,7,0.41,30-39,7622,null
14396,14.48,2021-03-23 14:17:40.247,0.1,14,0.82,40-49,7621,null
18398,18.51,2021-03-23 14:17:40.247,0.3,56,3.29,50-59,7620,null
15472,15.56,2021-03-23 14:17:40.247,1.27,197,11.56,60-69,7619,null
7419,7.46,2021-03-23 14:17:40.247,6.39,474,27.82,70-79,7618,null
4649,4.68,2021-03-23 14:17:40.247,20.5,953,55.93,80 이상,7617,null
50101,50.39,2021-03-23 14:17:40.246,1.71,858,50.35,여성,7616,null
49320,49.61,2021-03-23 14:17:40.246,1.72,846,49.65,남성,7615,null
4130,4.17,2021-03-22 14:26:35.888,0,0,0.00,0-9,7603,null
6687,6.75,2021-03-22 14:26:35.888,0,0,0.00,10-19,7602,null
14872,15.01,2021-03-22 14:26:35.888,0.02,3,0.18,20-29,7601,null
13252,13.38,2021-03-22 14:26:35.888,0.05,7,0.41,30-39,7600,null
14343,14.48,2021-03-22 14:26:35.887,0.1,14,0.82,40-49,7599,null
18349,18.52,2021-03-22 14:26:35.887,0.31,56,3.30,50-59,7598,null
15420,15.56,2021-03-22 14:26:35.887,1.26,195,11.49,60-69,7597,null
7381,7.45,2021-03-22 14:26:35.887,6.38,471,27.75,70-79,7596,null
4641,4.68,2021-03-22 14:26:35.887,20.49,951,56.04,80 이상,7595,null
49912,50.38,2021-03-22 14:26:35.887,1.71,854,50.32,여성,7594,null
49163,49.62,2021-03-22 14:26:35.886,1.71,843,49.68,남성,7593,null
4107,4.16,2021-03-21 14:04:42.0,0,0,0,0-9,7592,null
6666,6.76,2021-03-21 14:04:52.0,0,0,0,10-19,7591,null
14813,15.01,2021-03-21 14:05:01.0,0.02,3,0.18,20-29,7590,null
13171,13.35,2021-03-21 14:05:09.0,0.05,7,0.41,30-39,7589,null
14276,14.47,2021-03-21 14:05:19.0,0.1,14,0.83,40-49,7588,null
18273,18.52,2021-03-21 14:05:26.0,0.31,56,3.3,50-59,7587,null
15362,15.57,2021-03-21 14:05:33.0,1.27,195,11.5,60-69,7586,null
7357,7.46,2021-03-21 14:05:40.0,6.39,470,27.71,70-79,7585,null
4635,4.7,2021-03-21 14:05:48.0,20.52,951,56.07,80 이상,7584,null
49707,50.38,2021-03-21 14:05:57.0,1.72,853,50.29,여성,7583,null
48958,49.62,2021-03-21 14:06:03.0,1.72,843,49.71,남성,7582,null
4086,4.16,2021-03-20 14:31:48.53,0,0,0.00,0-9,7581,null
6644,6.77,2021-03-20 14:31:48.53,0,0,0.00,10-19,7580,null
14742,15.01,2021-03-20 14:31:48.53,0.02,3,0.18,20-29,7579,2021-03-22 09:50:37.0
13102,13.34,2021-03-20 14:31:48.53,0.05,7,0.41,30-39,7578,2021-03-22 09:50:40.0
14204,14.46,2021-03-20 14:31:48.53,0.1,14,0.83,40-49,7577,2021-03-22 09:50:44.0
18202,18.53,2021-03-20 14:31:48.53,0.31,56,3.31,50-59,7576,null
